"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -3.137470235,      0.1971079585,      -15.09334255,       3.268949861
          0,           0,           1,      -2.141284621,      0.5789163114,      0.6078906644,       4.159470422
          0,           0,           2,      -2.448693175,      0.4452327724,      0.3823603805,       3.887710584
          0,           0,           3,      -2.600824502,      0.5792393659,      0.1403127753,       3.730805837
          0,           0,           4,       -2.55981902,      0.6786294683,     0.02057804522,       3.733563821
          0,           0,           5,      -2.622021592,      0.6101687151,    0.009046414088,       3.669828304
          0,           0,           6,       -2.69961267,      0.5269359025,    -0.05011509496,       3.587716344
          0,           0,           7,      -2.762664852,      0.4553426069,    -0.09219608419,       3.515615783
          0,           0,           8,      -2.836943017,      0.3792124562,     -0.1517001045,       3.434941957
          0,           0,           9,      -2.836956233,      0.3792022408,     -0.1517099047,       3.434926335
          0,           0,          10,      -2.836982629,      0.3791818318,     -0.1517294652,       3.434895129
          0,           0,          11,      -2.837035285,      0.3791411003,     -0.1517684269,       3.434832869
          0,           0,          12,       -2.83714005,      0.3790599807,     -0.1518457201,       3.434708949
          0,           0,          13,      -2.837347429,      0.3788990999,     -0.1519978335,       3.434463482
          0,           0,          14,      -2.837753811,      0.3785826451,     -0.1522925414,       3.433981785
          0,           0,          15,      -2.838534785,       0.377970013,     -0.1528466353,       3.433053451
          0,           0,          16,      -2.839981788,       0.376819077,      -0.153832479,        3.43132362
          0,           0,          17,      -2.842494223,        0.37477044,     -0.1554292548,       3.428285503
          0,           0,          18,      -2.846417604,      0.3714382427,     -0.1576832793,       3.423429636
          0,           0,          19,      -2.851681727,      0.3666947636,     -0.1605107956,       3.416608413
          0,           0,          20,      -2.857798081,      0.3607587598,     -0.1643120821,       3.408058469
          0,           0,          21,      -2.865866838,      0.3524507123,      -0.172168636,       3.396485197
          0,           0,          22,      -2.883051791,      0.3351803888,     -0.1943696392,       3.374730515
          0,           0,          23,      -2.906202246,      0.3124107477,     -0.2208133741,       3.346901649
          0,           0,          24,      -2.927697025,      0.2904440345,     -0.2275596119,       3.325102766
          0,           0,          25,      -2.947037483,      0.2710249738,     -0.2543692296,       3.302737521
          0,           0,          26,      -2.947041197,      0.2710217919,     -0.2543748116,       3.302733572
          0,           0,          27,      -2.947048609,       0.271015441,     -0.2543859553,       3.302725687
          0,           0,          28,      -2.947063375,      0.2710027913,     -0.2544081624,       3.302709977
          0,           0,          29,      -2.947092674,      0.2709776978,     -0.2544522586,       3.302678795
          0,           0,          30,      -2.947150352,      0.2709283197,     -0.2545392023,       3.302617362
          0,           0,          31,      -2.947262169,      0.2708326824,     -0.2547082806,       3.302498092
          0,           0,          32,      -2.947472638,      0.2706530175,     -0.2550285795,       3.302272933
          0,           0,          33,      -2.947847816,      0.2703341011,     -0.2556073238,       3.301869232
          0,           0,          34,      -2.948457533,      0.2698208898,     -0.2565760959,        3.30120576
          0,           0,          35,      -2.949325307,      0.2691083091,     -0.2580493373,       3.300242245
          0,           0,          36,      -2.950416644,        0.26826093,     -0.2601753569,       3.298994334
          0,           0,          37,       -2.95187986,      0.2671683981,      -0.263539844,       3.297274086
          0,           0,          38,      -2.955166369,      0.2643088499,     -0.2702864767,       3.293449294
          0,           0,          39,      -2.966481614,      0.2532257722,     -0.2877436167,       3.280743222
          0,           0,          40,      -2.990327603,      0.2291013465,     -0.3219100255,       3.253873611
          0,           0,          41,      -2.987460033,       0.231217189,     -0.3195382143,       3.254784371
          0,           0,          42,      -2.984777602,      0.2332804285,     -0.3143140656,       3.256162871
          0,           0,          43,      -2.984780185,      0.2332779195,     -0.3143173311,       3.256160112
          0,           0,          44,      -2.984785342,      0.2332729099,      -0.314323852,       3.256154601
          0,           0,          45,      -2.984795621,      0.2332629247,     -0.3143368535,       3.256143617
          0,           0,          46,      -2.984816039,      0.2332430882,     -0.3143626969,        3.25612179
          0,           0,          47,      -2.984856324,      0.2332039418,     -0.3144137566,       3.256078694
          0,           0,          48,      -2.984934766,      0.2331276803,     -0.3145134552,       3.255994657
          0,           0,          49,      -2.985083731,      0.2329827241,     -0.3147038242,       3.255834614
          0,           0,          50,      -2.985354075,      0.2327191867,     -0.3150530152,        3.25554254
          0,           0,          51,      -2.985809653,      0.2322735745,     -0.3156534314,       3.255045054
          0,           0,          52,      -2.986506806,      0.2315875161,     -0.3166042465,       3.254269214
          0,           0,          53,      -2.987507103,      0.2305929028,     -0.3180260623,       3.253125366
          0,           0,          54,      -2.989069779,      0.2290120139,     -0.3202311083,       3.251301408
          0,           0,          55,       -2.99246049,      0.2255164767,     -0.3244573081,       3.247400959
          0,           0,          56,      -3.002766582,      0.2148929078,     -0.3364235231,       3.235973131
          0,           0,          57,      -3.027048467,      0.1900790707,     -0.3669643943,       3.209417515
          0,           0,          58,      -3.025129006,      0.1911380322,     -0.3677419034,       3.209438902
          0,           0,          59,      -3.018657262,       0.196458023,     -0.3589439277,       3.213878146
          0,           0,          60,      -3.018659884,      0.1964553574,     -0.3589467942,       3.213875321
          0,           0,          61,       -3.01866512,      0.1964500339,     -0.3589525187,       3.213869679
          0,           0,          62,      -3.018675562,      0.1964394178,     -0.3589639341,       3.213858426
          0,           0,          63,      -3.018696325,      0.1964183076,     -0.3589866316,       3.213836051
          0,           0,          64,      -3.018737375,      0.1963765669,      -0.359031502,       3.213791803
          0,           0,          65,      -3.018817635,      0.1962949407,     -0.3591192137,       3.213705257
          0,           0,          66,      -3.018971273,        0.19613863,     -0.3592870374,       3.213539462
          0,           0,          67,      -3.019254348,      0.1958504139,     -0.3595959121,       3.213233524
          0,           0,          68,      -3.019744494,      0.1953506103,     -0.3601292633,        3.21270222
          0,           0,          69,      -3.020527354,      0.1945497787,     -0.3609752365,       3.211848808
          0,           0,          70,      -3.021710339,      0.1933315231,     -0.3622328476,       3.210546778
          0,           0,          71,      -3.023618664,      0.1913449388,     -0.3641934769,       3.208425297
          0,           0,          72,      -3.027561698,      0.1872157385,     -0.3681170846,       3.204057333
          0,           0,          73,      -3.038318864,      0.1760610509,     -0.3795953858,       3.192388341
          0,           0,          74,      -3.065673562,      0.1481248431,     -0.4125419665,       3.163285228
          0,           0,          75,       -3.08310845,      0.1301075529,      -0.432853144,       3.144894497
          0,           0,          76,      -3.112661138,      0.1000462788,     -0.4525948165,       3.115743445
          0,           0,          77,      -3.112667065,      0.1000402663,     -0.4526004846,       3.115737373
          0,           0,          78,      -3.112678912,      0.1000282483,     -0.4526118137,       3.115725235
          0,           0,          79,      -3.112702578,       0.100004241,     -0.4526344435,        3.11570099
          0,           0,          80,      -3.112749804,     0.09995633965,     -0.4526795902,       3.115652619
          0,           0,          81,      -3.112843836,     0.09986098356,      -0.452769439,       3.115556344
          0,           0,          82,      -3.113030267,     0.09967200568,     -0.4529474106,       3.115365611
          0,           0,          83,      -3.113396963,     0.09930059673,     -0.4532968422,       3.114991002
          0,           0,          84,      -3.114108267,     0.09858120319,     -0.4539724466,       3.114266299
          0,           0,          85,      -3.115458894,      0.0972186004,     -0.4552483731,        3.11289651
          0,           0,          86,      -3.117958583,     0.09470595741,     -0.4575932691,       3.110378418
          0,           0,          87,      -3.122497334,     0.09016350352,     -0.4618339245,       3.105842371
          0,           0,          88,      -3.130724215,     0.08196225487,     -0.4695920485,        3.09767462
          0,           0,          89,      -3.145927712,     0.06684049279,     -0.4844026666,       3.082612075
          0,           0,          90,      -3.175097615,     0.03782898914,     -0.5145936088,       3.053583338
          0,           0,          91,      -3.230783475,    -0.01745655448,     -0.5761339866,       2.997964379
          0,           0,          92,      -3.293742154,    -0.07894059765,     -0.6455772503,       2.936534228
          0,           0,          93,      -3.337294815,     -0.1208164161,     -0.6797163095,       2.895814886
          0,           0,          94,      -3.337300969,     -0.1208227771,     -0.6797220444,       2.895808366
          0,           0,          95,      -3.337313267,      -0.120835489,     -0.6797335051,       2.895795337
          0,           0,          96,      -3.337337827,     -0.1208608716,     -0.6797563896,       2.895769324
          0,           0,          97,      -3.337386795,     -0.1209114743,     -0.6798020122,       2.895717469
          0,           0,          98,      -3.337484137,     -0.1210120393,     -0.6798926819,        2.89561444
          0,           0,          99,      -3.337676522,     -0.1212106894,      -0.680071794,       2.895411014
          0,           0,         100,       -3.33805266,     -0.1215986765,     -0.6804216698,       2.895014041
          0,           0,         101,      -3.338774359,     -0.1223416608,     -0.6810919587,       2.894255054
          0,           0,         102,       -3.34012016,     -0.1237223484,     -0.6823391809,       2.892848426
          0,           0,         103,      -3.342548171,     -0.1261997508,     -0.6845853565,       2.890334303
          0,           0,         104,      -3.346832688,     -0.1305421198,     -0.6885587316,       2.885945988
          0,           0,         105,      -3.354387965,     -0.1381570621,     -0.6956658869,       2.878269129
