"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -3.342966935,   -0.008388068486,      -15.51452581,       3.063366903
          0,           0,           1,      -3.004781615,    -0.04126492993,     0.05506213124,       3.325899767
          0,           0,           2,      -2.931672379,     0.09491906309,    -0.04118682592,       3.392386347
          0,           0,           3,      -2.921449874,      0.1110891686,    -0.05293611251,        3.40415883
          0,           0,           4,      -2.924458316,      0.0955581521,    -0.07023248163,       3.408864745
          0,           0,           5,      -2.943418753,      0.1025696827,      -0.111091595,       3.391708806
          0,           0,           6,      -2.875488827,      0.3233505271,     -0.1870725924,       3.415121927
          0,           0,           7,      -2.807477647,      0.4253961165,     -0.1476056899,       3.471485017
          0,           0,           8,      -2.805492072,      0.4304996789,     -0.1523670404,       3.471669457
          0,           0,           9,      -2.800142206,      0.4398314276,     -0.1455777314,       3.475184316
          0,           0,          10,      -2.796997937,      0.4469265515,     -0.1246514195,       3.477338094
          0,           0,          11,      -2.815402239,      0.4301496571,     -0.1223407485,       3.456762636
          0,           0,          12,      -2.809758836,      0.4361805973,     -0.1151328218,       3.461579512
          0,           0,          13,      -2.800239828,      0.4461073097,     -0.1038460041,       3.469696268
          0,           0,          14,      -2.787746817,      0.4584300307,    -0.09108132515,       3.480227914
          0,           0,          15,      -2.783487646,      0.4603555756,     -0.0913994732,       3.482359479
          0,           0,          16,      -2.835413039,      0.4024907797,     -0.1453976336,       3.429128034
          0,           0,          17,      -2.832765224,      0.4040704545,     -0.1465601505,       3.431051809
          0,           0,          18,      -2.830445338,      0.4047907907,     -0.1492272668,       3.432045873
          0,           0,          19,      -2.835991698,      0.3973191366,     -0.1596279303,       3.424325683
          0,           0,          20,      -2.876046038,      0.3549991277,     -0.2077436913,       3.380892719
          0,           0,          21,      -2.876037074,       0.354830041,     -0.2070697198,        3.38064325
          0,           0,          22,      -2.877160579,      0.3532900119,     -0.2068943907,       3.379049213
          0,           0,          23,      -2.884192469,      0.3453184072,     -0.2151090245,        3.37095154
          0,           0,          24,       -2.91064925,      0.3172697686,     -0.2441275607,       3.342605381
          0,           0,          25,      -2.911589035,      0.3161359303,     -0.2445727577,       3.341520291
          0,           0,          26,      -2.914243686,      0.3131229347,     -0.2463310545,       3.338583166
          0,           0,          27,      -2.922036325,      0.3047310072,     -0.2525773417,       3.330266072
          0,           0,          28,      -2.943815647,      0.2821080115,     -0.2721173248,       3.307585412
          0,           0,          29,      -2.996801473,      0.2281974002,     -0.3239025615,        3.25316601
          0,           0,          30,      -2.999261496,      0.2255871611,     -0.3250904787,       3.250688908
          0,           0,          31,      -3.004919432,      0.2196589043,     -0.3287603543,       3.244983636
          0,           0,          32,      -3.018548864,      0.2056150286,     -0.3400239853,       3.231204403
          0,           0,          33,      -3.051448503,      0.1722790035,     -0.3719959028,       3.197845677
          0,           0,          34,      -3.052817646,      0.1708358782,      -0.372612033,       3.196511274
          0,           0,          35,      -3.055954405,      0.1675726553,      -0.374516156,       3.193425471
          0,           0,          36,       -3.06365674,      0.1596891551,     -0.3806650426,       3.185754137
          0,           0,          37,        -3.0834889,      0.1396880812,     -0.3998870601,       3.165766117
          0,           0,          38,       -3.13215514,     0.09105575201,      -0.452384811,       3.116368743
          0,           0,          39,      -3.133384515,     0.08979035775,     -0.4531809702,        3.11516688
          0,           0,          40,      -3.136709506,     0.08641451264,     -0.4560349703,       3.111860957
          0,           0,          41,      -3.146435735,     0.07665079151,     -0.4659557317,       3.102062965
          0,           0,          42,      -3.174481489,     0.04868657361,     -0.4968697256,       3.073633862
          0,           0,          43,      -3.175021547,     0.04813225916,     -0.4972759469,       3.073099344
          0,           0,          44,      -3.176656847,     0.04647684846,     -0.4987885793,       3.071462886
          0,           0,          45,      -3.181944909,     0.04117711818,     -0.5043123315,        3.06612903
          0,           0,          46,      -3.198812336,     0.02436972545,     -0.5229539942,       3.049045469
          0,           0,          47,      -3.199104968,       0.024069307,     -0.5231805216,       3.048753466
          0,           0,          48,      -3.200028814,     0.02313430717,     -0.5240379479,       3.047825731
          0,           0,          49,      -3.203140038,     0.02001675224,     -0.5272532261,       3.044686354
          0,           0,          50,      -3.213604737,    0.009590588269,     -0.5386829551,       3.034094906
          0,           0,          51,      -3.245365136,    -0.02196247868,     -0.5744514921,       3.001909002
          0,           0,          52,      -3.245818639,    -0.02242199592,     -0.5748733964,       3.001450427
          0,           0,          53,      -3.247400435,    -0.02400769075,       -0.57653701,       2.999849298
          0,           0,          54,      -3.252997856,    -0.02958448587,     -0.5828057437,       2.994177637
          0,           0,          55,      -3.271664018,    -0.04812388015,     -0.6042605347,       2.975260347
          0,           0,          56,      -3.271864972,    -0.04832912379,     -0.6044986402,       2.975050708
          0,           0,          57,      -3.272665729,    -0.04913371075,     -0.6054454629,       2.974228331
          0,           0,          58,      -3.275765984,    -0.05222420078,     -0.6090902429,       2.971068398
          0,           0,          59,      -3.287033389,    -0.06341445776,     -0.6222037411,        2.95963141
          0,           0,          60,      -3.297753847,    -0.07405761247,     -0.6346345552,       2.948751306
          0,           0,          61,      -3.331491756,     -0.1074909063,     -0.6737237542,       2.914617448
          0,           0,          62,      -3.331837884,     -0.1078390093,     -0.6741570878,       2.914254936
          0,           0,          63,      -3.333301398,     -0.1092972047,     -0.6759119899,        2.91275671
          0,           0,          64,      -3.339032554,     -0.1149837568,     -0.6826353462,       2.906947451
          0,           0,          65,       -3.35897097,     -0.1347286938,      -0.705811948,       2.886823007
          0,           0,          66,      -3.359140343,     -0.1348996337,     -0.7060384688,        2.88664311
          0,           0,          67,      -3.359926142,     -0.1356831202,     -0.7070002737,       2.885835844
          0,           0,          68,      -3.363178886,     -0.1389106627,     -0.7108295097,       2.882537693
          0,           0,          69,      -3.375320987,     -0.1509328967,     -0.7248548808,       2.870295212
          0,           0,          70,      -3.375411555,     -0.1510248988,     -0.7249695627,       2.870197001
          0,           0,          71,       -3.37586128,     -0.1514741886,     -0.7255013473,       2.869732008
          0,           0,          72,       -3.37779041,     -0.1533897029,     -0.7277230779,       2.867771972
          0,           0,          73,      -3.385303826,     -0.1608306724,     -0.7362828035,        2.86019403
          0,           0,          74,      -3.410507506,     -0.1857563498,     -0.7652133602,       2.834843458
          0,           0,          75,      -3.410719433,     -0.1859694859,      -0.765463519,       2.834620027
          0,           0,          76,      -3.411704656,     -0.1869503662,      -0.766612201,       2.833612384
