"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,           0,      -3.137470235,      0.1972933562,      -15.94620306,       3.274193542,       2.605524073,       5.440810038
          0,           0,           1,      -2.142958059,      0.4191645039,      0.6110551804,       4.186004999,       2.457280375,       5.845239014
          0,           0,           2,       -2.45598038,      0.5431985689,      0.3863429941,       3.874028541,       2.268172987,       6.191301073
          0,           0,           3,      -2.534968688,      0.6462431498,      0.2434675835,       3.782760203,       2.061153404,       6.211871808
          0,           0,           4,      -2.540973557,      0.6490964636,       0.223158163,         3.7752774,       2.052821114,       6.093570835
          0,           0,           5,      -2.534824792,      0.6673950032,      0.2080812762,       3.775766594,       2.027746384,       6.018708126
          0,           0,           6,      -2.525272912,      0.6858754203,      0.2078478932,       3.778162174,       1.968289754,       5.825016043
          0,           0,           7,      -2.545779035,      0.6698305167,      0.1858579615,       3.750904152,       1.852637854,       5.250572563
          0,           0,           8,      -2.620575035,      0.5978903435,      0.1014436167,       3.669759887,       1.769023936,       5.494126569
          0,           0,           9,        -2.6176761,      0.6008600978,      0.1032611903,       3.670684487,       1.743655293,       5.717614995
          0,           0,          10,      -2.617132123,      0.6018612152,      0.1006732384,       3.667966748,       1.694897177,       5.605076812
          0,           0,          11,      -2.629109913,       0.591338877,     0.08005963401,       3.651051126,       1.603372119,       5.592602103
          0,           0,          12,      -2.672141392,      0.5510228571,     0.01633955828,       3.601242464,       1.596426787,       5.531071723
          0,           0,          13,      -2.671456852,      0.5519414319,     0.01538288412,       3.601025141,       1.581667314,       5.594456598
          0,           0,          14,      -2.672038394,      0.5518057429,     0.01086624196,       3.598788357,       1.549797043,       5.467714147
          0,           0,          15,      -2.679195633,      0.5454946349,   -0.005057491774,       3.588824388,       1.485841334,       5.424039492
          0,           0,          16,      -2.706490231,      0.5195854935,    -0.04903849455,       3.557349839,       1.490487838,       5.290729205
          0,           0,          17,      -2.706652261,      0.5195224614,    -0.05036863628,       3.556712294,       1.479938526,       5.368752042
          0,           0,          18,      -2.707855068,      0.5184972033,    -0.05405494985,       3.554612478,       1.458135422,       5.294402571
