"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -3.524061978,     -0.2707577438,     -0.8604889288,       2.674575693
          0,           0,           1,      -3.605483947,      -0.210562254,    -0.07802462538,       2.742545558
          0,           0,           2,      -3.504730665,    -0.09870963869,     -0.1419241846,       2.956923247
          0,           0,           3,       -3.43343811,    -0.06909006726,     -0.1614967899,       3.029311939
          0,           0,           4,      -3.333546213,     -0.0154286865,     -0.1932425609,       3.125338914
          0,           0,           5,      -3.230240075,     0.05868800606,     -0.2400651173,        3.22275309
          0,           0,           6,      -3.094422047,      0.1983990188,     -0.2926957587,       3.315263664
          0,           0,           7,      -2.927198522,        0.34938196,     -0.2023607308,       3.433299606
          0,           0,           8,      -2.921469245,      0.3543339362,      -0.195510123,       3.437950244
          0,           0,           9,      -2.911718371,       0.363138309,     -0.1814963768,       3.445010773
          0,           0,          10,       -2.89848574,      0.3758093387,     -0.1600604426,       3.452173943
          0,           0,          11,      -2.878309925,      0.3952187158,     -0.1349402886,       3.459861031
          0,           0,          12,      -2.871107949,      0.4020800756,     -0.1283166134,       3.465053732
          0,           0,          13,      -2.859090113,      0.4134578242,     -0.1178314478,       3.473771274
          0,           0,          14,      -2.843722797,      0.4277297055,     -0.1044202916,        3.48477184
          0,           0,          15,       -2.83756841,      0.4321806137,    -0.09663854067,       3.486792138
          0,           0,          16,      -2.836072226,      0.4323677575,    -0.09551560354,       3.484036108
          0,           0,          17,      -2.863435554,      0.4020872642,      -0.120864171,       3.453328937
          0,           0,          18,      -2.860320748,      0.4048491866,     -0.1187858741,       3.455521702
          0,           0,          19,      -2.855945763,      0.4086863204,     -0.1156842669,       3.458345158
          0,           0,          20,      -2.854850812,       0.409003262,     -0.1167492855,       3.457151624
          0,           0,          21,      -2.872939127,      0.3898112676,     -0.1397004717,       3.436144561
          0,           0,          22,      -2.871663907,       0.390891068,     -0.1384123342,       3.437043823
          0,           0,          23,      -2.870262456,      0.3919486901,     -0.1372188157,       3.437746933
          0,           0,          24,      -2.871337308,      0.3902046142,     -0.1393060857,       3.435323479
          0,           0,          25,      -2.884223292,       0.376604617,     -0.1555302016,       3.420583323
          0,           0,          26,      -2.883919812,      0.3767891943,     -0.1551863904,       3.420695523
          0,           0,          27,      -2.883891711,      0.3765977326,     -0.1551961923,       3.420350888
          0,           0,          28,      -2.885819451,      0.3742941803,     -0.1575529831,       3.417719564
          0,           0,          29,       -2.89545348,      0.3640920507,     -0.1688595045,        3.40684438
          0,           0,          30,      -2.926970886,      0.3318118753,      -0.204970179,       3.373360934
          0,           0,          31,      -2.927603604,       0.331030913,      -0.205422248,        3.37253293
          0,           0,          32,      -2.929671231,      0.3286973906,      -0.207378612,       3.370080443
          0,           0,          33,      -2.936365503,       0.321566671,     -0.2145934329,       3.362646019
          0,           0,          34,      -2.956296135,       0.301007451,     -0.2371742491,       3.341383383
          0,           0,          35,      -2.956932193,      0.3002678589,     -0.2376338103,       3.340637161
          0,           0,          36,      -2.958579449,       0.298428922,     -0.2390661537,       3.338767816
          0,           0,          37,      -2.963162564,      0.2935151292,      -0.243687283,       3.333735265
          0,           0,          38,      -2.976164412,       0.280007533,     -0.2580424096,       3.319841597
          0,           0,          39,      -3.009129772,      0.2463249054,     -0.2958429143,       3.285232368
          0,           0,          40,      -3.010257351,      0.2450679241,     -0.2966691714,       3.283996606
          0,           0,          41,      -3.013070174,      0.2420215749,     -0.2991300382,       3.280956277
          0,           0,          42,       -3.02063549,      0.2340737681,     -0.3068213724,       3.272901664
          0,           0,          43,      -3.041362346,      0.2127956981,     -0.3298630881,       3.251141672
          0,           0,          44,      -3.042088671,      0.2119809562,     -0.3302910339,       3.250358523
          0,           0,          45,      -3.043841522,      0.2100649045,     -0.3315927536,       3.248482639
          0,           0,          46,      -3.048458519,      0.2051688059,     -0.3358295879,       3.243585598
          0,           0,          47,       -3.06137231,      0.1918401809,     -0.3495048818,       3.230024945
          0,           0,          48,      -3.061842084,      0.1913117859,      -0.349721173,       3.229524446
          0,           0,          49,      -3.062954241,      0.1900895282,     -0.3504156751,       3.228343799
          0,           0,          50,       -3.06584239,      0.1870069594,     -0.3527963793,       3.225292298
          0,           0,          51,      -3.074005147,      0.1785388359,     -0.3609867559,       3.216721437
          0,           0,          52,      -3.097069398,      0.1550795723,     -0.3867011992,       3.192665005
          0,           0,          53,      -3.097667206,      0.1544117737,     -0.3869539116,       3.192033568
          0,           0,          54,      -3.099224815,      0.1527259596,     -0.3879952137,       3.190392869
          0,           0,          55,      -3.103712802,      0.1480222534,      -0.392052961,       3.185683231
          0,           0,          56,       -3.11726969,      0.1341555415,     -0.4064705012,       3.171531689
          0,           0,          57,      -3.117570928,      0.1338068847,      -0.406504529,       3.171211839
          0,           0,          58,      -3.118386069,      0.1329027019,     -0.4068844692,       3.170349083
          0,           0,          59,      -3.120844159,        0.13028755,     -0.4088299706,       3.167757758
          0,           0,          60,      -3.128762589,      0.1221239066,     -0.4168437198,       3.159457145
          0,           0,          61,       -3.13599791,      0.1146529537,     -0.4241522131,       3.151853224
          0,           0,          62,       -3.15816923,     0.09216464495,     -0.4491982983,       3.128680672
          0,           0,          63,      -3.158328244,     0.09194741094,     -0.4490647097,       3.128495262
          0,           0,          64,      -3.159078968,     0.09108897585,     -0.4493964987,       3.127671529
